Rt	TestRoute1				
100	Start	Start	48,48728	35,942105	1
1	67А03592@67К00001	, Україна, Дніпропетровська обл., Дніпро, Шолохова, 1	48,50904	34,98844	7
2	67К00368@67К00001	, Україна, Дніпропетровська обл., Павлоград, Харківська, 120/35	48,533014	35,875217	7
3	67К00682@67К00001	, Україна, Дніпропетровська обл., Дніпро, Донецьке, 112К/1	48,522418	35,026023	7
4	67К00784@67К00002	, Україна, Дніпропетровська обл., Дніпро, Єнісейська, 52	48,518915	35,073319	7
5	67К00113@67К00001	, Україна, Дніпропетровська обл., Дніпро, Байкальська, 6	48,51832	35,0866	7
6	67К00816@67К00001	, Україна, Дніпропетровська обл., Павлоград, Центральна, 60	48,536236	35,868335	7
7	67К00133@67К00001	, Україна, Дніпропетровська обл., Павлоград, Кравченка, 2/в	48,49333001	35,93758952	7
8	67К00295@67К00001	, Україна, Дніпропетровська обл., Павлоград, Полтавська, 127/В	48,525944	35,864692	7
9	67К00077@67К00001	, Україна, Дніпропетровська обл., Новомосковськ, Українська, 8	48,631831	35,259119	7
